Profile size: 20 	 N: 1 	 Result: 0.3209876543209877
Profile size: 20 	 N: 2 	 Result: 0.45679012345679015
Profile size: 20 	 N: 3 	 Result: 0.45679012345679015
Profile size: 20 	 N: 4 	 Result: 0.37037037037037046
Profile size: 20 	 N: 5 	 Result: 0.30864197530864196
Profile size: 20 	 N: 6 	 Result: 0.16049382716049382
Profile size: 20 	 N: 7 	 Result: 0.14814814814814817
Profile size: 20 	 N: 8 	 Result: 0.1358024691358025
Profile size: 20 	 N: 9 	 Result: 0.1234567901234568
Profile size: 20 	 N: 10 	 Result: 0.11111111111111113
Profile size: 50 	 N: 1 	 Result: 0.5061728395061729
Profile size: 50 	 N: 2 	 Result: 0.5308641975308642
Profile size: 50 	 N: 3 	 Result: 0.5432098765432098
Profile size: 50 	 N: 4 	 Result: 0.4938271604938272
Profile size: 50 	 N: 5 	 Result: 0.32098765432098764
Profile size: 50 	 N: 6 	 Result: 0.17283950617283952
Profile size: 50 	 N: 7 	 Result: 0.14814814814814817
Profile size: 50 	 N: 8 	 Result: 0.12345679012345682
Profile size: 50 	 N: 9 	 Result: 0.11111111111111113
Profile size: 50 	 N: 10 	 Result: 0.11111111111111113
Profile size: 100 	 N: 1 	 Result: 0.5679012345679012
Profile size: 100 	 N: 2 	 Result: 0.5925925925925926
Profile size: 100 	 N: 3 	 Result: 0.6790123456790123
Profile size: 100 	 N: 4 	 Result: 0.5802469135802468
Profile size: 100 	 N: 5 	 Result: 0.33333333333333337
Profile size: 100 	 N: 6 	 Result: 0.14814814814814817
Profile size: 100 	 N: 7 	 Result: 0.1358024691358025
Profile size: 100 	 N: 8 	 Result: 0.12345679012345682
Profile size: 100 	 N: 9 	 Result: 0.11111111111111113
Profile size: 100 	 N: 10 	 Result: 0.11111111111111113
Profile size: 200 	 N: 1 	 Result: 0.5802469135802469
Profile size: 200 	 N: 2 	 Result: 0.654320987654321
Profile size: 200 	 N: 3 	 Result: 0.6543209876543209
Profile size: 200 	 N: 4 	 Result: 0.5432098765432098
Profile size: 200 	 N: 5 	 Result: 0.30864197530864196
Profile size: 200 	 N: 6 	 Result: 0.1358024691358025
Profile size: 200 	 N: 7 	 Result: 0.1358024691358025
Profile size: 200 	 N: 8 	 Result: 0.12345679012345682
Profile size: 200 	 N: 9 	 Result: 0.11111111111111113
Profile size: 200 	 N: 10 	 Result: 0.11111111111111113
Profile size: 500 	 N: 1 	 Result: 0.5802469135802469
Profile size: 500 	 N: 2 	 Result: 0.3580246913580247
Profile size: 500 	 N: 3 	 Result: 0.6666666666666667
Profile size: 500 	 N: 4 	 Result: 0.5925925925925927
Profile size: 500 	 N: 5 	 Result: 0.3209876543209877
Profile size: 500 	 N: 6 	 Result: 0.14814814814814814
Profile size: 500 	 N: 7 	 Result: 0.12345679012345682
Profile size: 500 	 N: 8 	 Result: 0.11111111111111113
Profile size: 500 	 N: 9 	 Result: 0.11111111111111113
Profile size: 500 	 N: 10 	 Result: 0.11111111111111113
Profile size: 1000 	 N: 1 	 Result: 0.5802469135802469
Profile size: 1000 	 N: 2 	 Result: 0.3580246913580247
Profile size: 1000 	 N: 3 	 Result: 0.5555555555555556
Profile size: 1000 	 N: 4 	 Result: 0.37037037037037046
Profile size: 1000 	 N: 5 	 Result: 0.2469135802469136
Profile size: 1000 	 N: 6 	 Result: 0.22222222222222227
Profile size: 1000 	 N: 7 	 Result: 0.22222222222222227
Profile size: 1000 	 N: 8 	 Result: 0.22222222222222227
Profile size: 1000 	 N: 9 	 Result: 0.22222222222222227
Profile size: 1000 	 N: 10 	 Result: 0.22222222222222227
Profile size: 1500 	 N: 1 	 Result: 0.5802469135802469
Profile size: 1500 	 N: 2 	 Result: 0.3580246913580247
Profile size: 1500 	 N: 3 	 Result: 0.3580246913580247
